Color Name,L,A,B
Vivid pink,67.00457593,52.56151016,10.84754151
Strong pink,70.46940394,40.06257157,7.748789476
Deep pink,60.32800929,50.57410207,11.24970344
Light pink,83.67621385,20.52767574,1.770525549
Moderate pink,73.1687371,24.85602068,3.607724914
Dark pink,60.91022191,28.00620903,5.720313691
Pale pink,86.56359383,12.25489545,-1.564589716
Grayish pink,73.54790177,12.51615992,-1.062858127
Pinkish white,89.72991164,7.520089501,-1.674584724
Pinkish gray,75.62069074,7.264724815,-1.348294502
Vivid red,46.0524155,67.8759795,32.0884743
Strong red,44.29552647,56.0735174,19.83482813
Deep red,28.83648868,48.03572044,16.67019912
Very deep red,18.09777669,38.01006831,6.137740677
Moderate red,45.31845227,43.41160741,14.66292332
Dark red,27.36295408,36.28056061,9.341820087
Very dark red,15.09117634,28.09581731,-0.199240875
Light grayish red,60.989466,17.5502862,3.873701298
Grayish red,46.16023677,24.77168743,7.400240081
Dark grayish red,26.77874767,13.0327035,1.11971352
Blackish red,15.15907135,9.795566996,-0.528342322
Reddish gray,55.61732127,7.363293102,-0.323476552
Dark reddish gray,34.80377687,7.211421218,-0.609625364
Reddish black,16.4497897,5.75124972,-1.524168546
Vivid yellowish pink,66.97619975,45.83290271,40.25944915
Strong yellowish pink,70.12138432,36.48578814,25.04292299
Deep yellowish pink,60.10398511,54.1889724,26.15644801
Light yellowish pink,83.34585232,16.54126239,14.11342645
Moderate yellowish pink,73.35767049,20.25605793,15.95887283
Dark yellowish pink,61.10228113,27.99179442,12.9202168
Pale yellowish pink,86.94505324,10.10859546,4.835461067
Grayish yellowish pink,73.01119578,11.23214267,4.191930338
Brownish pink,73.64133802,8.814532173,7.837673209
Vivid reddish orange,52.25118547,64.34835019,56.45401495
Strong reddish orange,55.28695955,47.3874601,43.44175849
Deep reddish orange,40.492511,49.00529836,43.83937045
Moderate reddish orange,55.7811099,37.53943785,30.94738429
Dark reddish orange,40.45079879,39.33394784,33.1067572
Grayish reddish orange,56.06654419,24.88485001,19.99428044
Strong reddish brown,30.28602692,45.20688741,37.16754857
Deep reddish brown,19.75124638,35.83819449,21.71244771
Light reddish brown,56.01678488,18.54155092,11.6102397
Moderate reddish brown,35.1493599,24.62743664,15.61840017
Dark reddish brown,16.86843268,19.77152734,8.740571842
Light grayish reddish brown,55.94127901,11.13082226,7.24233593
Grayish reddish brown,35.99285985,12.78476137,6.366213615
Dark grayish reddish brown,19.82864673,12.31819391,4.381499855
Vivid orange,63.96696484,44.72713191,69.89481029
Strong orange,64.43874595,34.57790136,62.01245878
Deep orange,51.70363991,34.99193165,56.24337457
Light orange,77.74807996,22.78538866,34.16973815
Moderate orange,66.02477716,26.01944972,38.68994868
Brownish orange,50.9311402,26.25889446,41.06502274
Strong brown,37.10919593,26.66129213,39.30591047
Deep brown,19.1445546,27.20893632,25.72332656
Light brown,56.28964132,15.84509632,21.19121121
Moderate brown,35.52056825,14.77476266,17.69264077
Dark brown,17.27635823,15.23197379,17.37413484
Light grayish brown,55.31486913,8.361139495,9.17458142
Grayish brown,35.87597672,8.919342452,8.000126154
Dark grayish brown,19.95909037,7.629123435,5.847074425
Light brownish gray,55.74747986,5.886299984,2.761425419
Brownish gray,36.20611359,5.59093698,2.72637529
Brownish black,13.79825288,4.200673618,3.843597818
Brilliant orange yellow,81.11035649,12.95614604,62.56988834
Strong orange yellow,72.31498495,20.13665086,70.73032652
Deep orange yellow,61.85126386,21.11537976,64.83403216
Light orange yellow,82.2378997,12.6896841,43.00833162
Moderate orange yellow,73.16789142,15.89674872,46.9971961
Dark orange yellow,60.73791666,16.23829616,49.29867337
Pale orange yellow,82.55106735,9.627816825,21.36241493
Strong yellowish brown,48.33573791,15.93417344,47.66574149
Deep yellowish brown,30.55293911,13.14990337,36.09593144
Light yellowish brown,66.60389053,10.58329715,25.93116643
Moderate yellowish brown,45.91489699,9.633063781,22.23044958
Dark yellowish brown,24.43818017,9.518920936,21.29145072
Light grayish yellowish brown,65.80326736,6.976608815,10.75504279
Grayish yellowish brown,46.08244878,6.344619266,9.865492537
Dark grayish yellowish brown,27.17053598,5.264304419,8.813811897
Vivid yellow,79.62557383,4.591723774,78.98380988
Brilliant yellow,84.22534111,1.346338046,65.57954371
Strong yellow,73.04452514,3.757832076,66.12170039
Deep yellow,61.56393094,5.105035746,62.28787323
Light yellow,85.5016004,1.925233616,42.92839731
Moderate yellow,73.06598465,3.358708443,43.36711997
Dark yellow,61.01934788,3.507768105,44.74416323
Pale yellow,87.07918731,2.737067878,21.31914608
Grayish yellow,73.27821815,2.560530057,22.51118102
Dark grayish yellow,61.08239764,3.323933363,25.80766429
Yellowish white,89.8664891,4.275143626,4.28922496
Yellowish gray,75.99476031,3.218769635,5.710832623
Light olive brown,52.1004232,5.831253968,39.97733036
Moderate olive brown,37.64505302,5.705208751,33.8654032
Dark olive brown,19.62154893,5.247233209,21.11917174
Vivid greenish yellow,86.74505196,-13.00999564,82.14533789
Brilliant greenish yellow,86.58744758,-11.27844238,65.62888671
Strong greenish yellow,73.65257849,-10.88720725,68.40376107
Deep greenish yellow,61.81164281,-9.828783001,62.46256072
Light greenish yellow,87.42357285,-7.434029913,42.17410595
Moderate greenish yellow,72.93395892,-7.758535469,45.29720185
Dark greenish yellow,60.86214106,-8.129652536,46.91987234
Pale greenish yellow,87.46127451,-4.138977872,25.37008446
Grayish greenish yellow,73.32562913,-4.416204355,26.18080164
Light olive,52.23554128,-4.483238485,43.5384286
Moderate olive,37.71494702,-3.508746809,36.39044374
Dark olive,18.94087526,-1.907855317,22.88891406
Light grayish olive,55.75993526,-0.411153148,13.10384027
